MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude
FLDS-1,First Lake,44.77332,-63.66526
FLDS-2,First Lake,44.76667,-63.65933
FLDS-3,First Lake,44.77311,-63.66881
FLEC-1,First Lake,44.76979,-63.67092
FLEC-2,First Lake,44.77376,-63.67272
FLEC-3A,First Lake,44.77623,-63.6735
FLEC-3B,First Lake,44.77657,-63.67296
FLEC-4A,First Lake,44.77637,-63.66687
FLEC-4B,First Lake,44.77138,-63.6601
FLEC-4C,First Lake,44.77548,-63.66374
FLEC-5,First Lake,44.76802,-63.64847
FLEC-5A,First Lake,44.76632,-63.65297
FLEC-6,First Lake,44.76442,-63.65462
FLEC-6A,First Lake,44.76506,-63.65723
FLEC-7,First Lake,44.76761,-63.661
FLEC-7A,First Lake,44.77188,-63.66793
FLEC-8,First Lake,44.76942,-63.66715
FLECD-1,First Lake Ditch,44.7767,-63.67459
FLECD-2,First Lake Ditch,44.7768,-63.67517
FLECD-3,First Lake Ditch,44.77695,-63.67446
FLECD-4,First Lake Ditch,44.77644,-63.67379
FLECD-4,First Lake,44.77644,-63.67379
FLECD-5,First Lake Ditch,44.77638,-63.67363
FLOL-1,First Lake,44.76804,-63.64878
